regimen_drugs,abbreviation
"Capecitabine, Irinotecan Hydrochloride",CAPIRI
"Capecitabine, Oxaliplatin",CAPOX
"Carboplatin, Docetaxel, Trastuzumab",TCH
"Cyclophosphamide, Docetaxel",TC
"Cyclophosphamide, Docetaxel, Doxorubicin Hydrochloride",TAC
"Cyclophosphamide, Doxorubicin Hydrochloride",AC
"Cyclophosphamide, Doxorubicin Hydrochloride, Paclitaxel",AC-T
"Cyclophosphamide, Doxorubicin Hydrochloride, Paclitaxel, Trastuzumab",AC-TH
"Cyclophosphamide, Fluorouracil, Methotrexate",CMF
"Fluorouracil, Irinotecan Hydrochloride, Leucovorin Calcium",FOLFIRI
"Fluorouracil, Irinotecan Hydrochloride, Leucovorin Calcium, Oxaliplatin",FOLFOXIRI
"Fluorouracil, Leucovorin Calcium, Oxaliplatin",FOLFOX
